,num_cicloestacion,nombre,latitud,longitud,station_id,community
338,96,CE-096 López-Ayuntamiento,19.430625,-99.14248,096,421
339,667,CE-667 Hermes - Mosqueta,19.363955445342725,-99.1807891801136,667,637
340,84,CE-084 Chilpancingo - Tlaxcala,19.406872,-99.169572,084,238
341,660,CE-660 Josefa Ortiz de Dominguez - Circuito Interior,19.3580028,-99.1701056,660,272
342,168,CE-168 Comercio-Progreso,19.403997,-99.1776,168,295
343,670,CE-670 Felix Parra - Flamencos,19.3676,-99.1849917,670,588
344,154,CE-154 Tuxpan-Tlaxcala,19.406683,-99.167962,154,280
345,658,CE-658 Vicente Guerrero - Berlín,19.355339,-99.165613,658,177
346,657,CE-657 Madrid - Centenario,19.3574361,-99.1637944,657,224
347,184,CE-184 General Gómez Pedraza-Gobernador Tiburcio Montiel,19.414793,-99.185083,184,89
348,153,CE-153 Manzanillo-Tlaxcala,19.407468,-99.165141,153,167
349,77,CE-077 Choapan - Tamaulipas,19.406745,-99.178272,077,337
350,73,CE-073 Campeche - Tamaulipas,19.410073,-99.175542,073,381
351,78,CE-078 Benjamín Hill - Tamaulipas,19.407512,-99.177361,078,323
352,163,CE-163 Toluca-Bajío,19.405246,-99.15643,163,182
353,54,CE-054 Parque España - Sonora,19.416163,-99.170795,054,105
354,169,CE-169 Prosperidad-Progreso,19.403019,-99.174934,169,346
355,430,CE-430 Tripoli-Av. Popocatépetl (Eje 8),19.36205,-99.154976,430,193
356,171,CE-171 Comercio-Jose Martí,19.40253247789727,-99.1782025248358,171,88
357,309,CE-309 Pensilvania-Arizona,19.393059,-99.179483,309,545
358,182,CE-182 Progreso-Astrónomos,19.402028398340057,-99.17129248386118,182,432
359,331,CE-331 Avenida 2-Calle 17,19.388748,-99.183924,331,308
360,279,CE-279 La Morena-Providencia,19.399908,-99.166553,279,147
361,187,CE-187 General Cano-Gobernador Gregorio V. Gelati,19.411227,-99.185514,187,668
362,291,CE-291 Magdalena-División Del Norte,19.397651,-99.169946,291,37
363,297,CE-297 Diagonal San Antonio-Enrique Rébsamen,19.394412,-99.158907,297,465
364,310,CE-310 Calle 1-Av. Patriotismo,19.395316464981526,-99.18172560637684,310,387
365,314,CE-314 Nueva York-Louisiana,19.391647,-99.177331,314,281
366,351,CE-351 Calle 27-Avenida Revolución,19.385751,-99.186297,351,168
367,319,CE-319 Diagonal San Antonio-Luz Saviñón,19.391991,-99.162684,319,417
368,329,CE-329 Calle 13-Avenida 1,19.390306,-99.184812,329,31
369,164,CE-164 Bajío-Tlacotalpan,19.4032285,-99.1658539,164,163
370,295,CE-295 Anaxágoras-Eje 4 Sur Xola,19.396189323455705,-99.15687739860005,295,362
371,336,CE-336 San Borja-Cda. Dr. J. Bartolache,19.385531,-99.169673,336,178
372,296,CE-296 Diagonal San Antonio-Enrique Rébsamen,19.394283,-99.158756,296,550
373,323,CE-323 Concepción Beistegui-Gabriel Mancera,19.388986312246836,-99.1632449628014,323,477
374,340,CE-340 Anaxágoras-Avenida Eugenia,19.385625037771153,-99.15819257503244,340,103
375,669,CE-669 Los Juarez - Sagredo,19.37076863433144,-99.1873613745247,669,589
376,209,CE-209 Solón-Horacio,19.435478,-99.206359,209,562
377,317,CE-317 Avenida Coyoacán-Torres Adalid,19.391456,-99.166157,317,506
378,299,CE-299 Romero de Terreros-Mier Y Pesado,19.394601,-99.165054,299,443
379,276,CE-276 Anaxágoras-Obrero Mundial,19.401986,-99.156366,276,487
380,90,CE-090 José María Pino Suárez - Corregidora,19.43144,-99.132513,090,524
381,304,CE-304 Montecito-Dakota,19.395043,-99.173821,304,516
382,352,CE-352 Tintoreto-Giorgione,19.384146,-99.185491,352,433
383,366,CE-366 Porfirio Díaz-Augusto Rodin,19.378423,-99.181891,366,342
384,395,CE-395 San Lorenzo-Martín Mendalde,19.373725,-99.169807,395,643
385,316,CE-316 San Francisco-Concepción Beistegui,19.391056,-99.1712,316,493
386,292,CE-292 Adolfo Prieto-Eje 4 Sur Xola,19.396917,-99.166264,292,322
387,380,CE-380 Moras-San Lorenzo,19.374756,-99.173539,380,658
388,338,CE-338 Nicolás San Juan-San Borja,19.384242,-99.16326,338,351
389,420,CE-420 María Luz Bringas-Oso,19.36967233269665,-99.17958118026944,420,523
390,373,CE-373 Pilares-Gabriel Mancera,19.377932,-99.166594,373,36
391,416,CE-416 Recreo-Parroquia,19.371279,-99.177623,416,604
392,386,CE-386 Poussin-Donatello,19.374912,-99.185807,386,469
393,347,CE-347 Pensilvania-Maximino Avila Camacho,19.384474,-99.176084,347,570
394,342,CE-342 Pitágoras-Av. División del Norte,19.38237,-99.1598779,342,520
395,328,CE-328 Avenida 1-Calle 7,19.392721,-99.184727,328,97
396,369,CE-369 Porfirio Díaz-Av. Insurgentes,19.379941,-99.177224,369,410
397,389,CE-389 Santander-Félix Cuevas,19.373438,-99.179531,389,299
398,205,CE-205 Taine-Homero,19.43552573443183,-99.18474711483212,205,379
399,396,CE-396 Martin Mendalde-Felix Cuevas,19.37165,-99.17015,396,581
400,436,CE-436 Rodríguez Saro-Búfalo,19.36623,-99.177904,436,639
401,334,CE-334 Nueva York-Av. Insurgentes,19.386530826718293,-99.17510658508034,334,253
402,385,CE-385 Poussin-Empresa,19.375650918831095,-99.18558642279096,385,21
403,422,CE-422 Búfalo-José María Rico (Eje 8),19.368403,-99.177472,422,377
404,363,CE-363 Holbein-Paulo Ucello,19.380839,-99.183932,363,508
405,355,CE-355 California-Sacramento,19.38201131984727,-99.17328938847275,355,448
406,346,CE-346 San Francisco-Santa Margarita,19.38496594717172,-99.17411729704328,346,361
407,290,CE-290 Yosemite-Colorado,19.39638,-99.1727082,290,160
408,371,CE-371 Tlacoquemécatl-Capulín,19.378546,-99.174297,371,563
409,401,CE-401 San Lorenzo-Avenida Cuauhtémoc,19.372101,-99.161501,401,222
410,356,CE-356 Matías Romero -Adolfo Prieto,19.381287,-99.1702,356,107
411,433,CE-433 Jose María Olloqui-Lopéz Cotilla,19.363548,-99.170766,433,426
412,277,CE-277 Prolongación Tonalá-Obrero Mundial,19.401807,-99.15909,277,339
413,172,CE-172 General Francisco Murguía-José Martí,19.40350712479053,-99.18165966879316,172,166
414,404,CE-404 Miguel Laurent-Avenida División Del Norte,19.373833,-99.157433,404,267
415,203,CE-203 Tennyson-Av. Homero,19.435985,-99.194832,203,135
416,473,CE-473 Bahía del Espíritu Santo-Bahía de Banderas,19.438143,-99.17519,473,642
